Crop Label,Scientific Name,Temperature Min (°C),Temperature Max (°C),Temperature Optimal,Humidity Range,pH Range,pH Optimal,Rainfall (mm),Nitrogen (kg/ha),Phosphorus (kg/ha),Potassium (kg/ha),Growing Notes
rice,Oryza sativa L.,20,32,21-30,70-90,5.0-7.9,5.0-6.5,1000-4500,60-200,40-80,40-110,"Tropical/subtropical crop, requires hot and humid climate. Minimum temp for germination: 10°C, flowering: 23°C, grain formation: 20°C"
maize,Zea mays L.,18,30,22-26,60-70,5.0-7.5,6.0-7.0,60-100,77-190,40-90,40-135,Poor tolerance of acidic soils (<pH 5.0). N requirement highest before blossoming. Moderate rainfall crop
chickpea,Cicer arietinum L.,10,30,18-29,40-60,6.0-8.6,6.0-7.5,600-1000,15-30,40-60,17-30,Cool-season legume. Fixes own nitrogen. Requires low humidity. Tolerates cold (-9.5°C in early stages). Well-drained loamy soils
kidneybeans,Phaseolus vulgaris L.,15,32,20-28,50-70,5.0-6.5,5.8-6.5,700-900,20-30,60-70,20-30,Warm season crop. Well-drained soils. Sensitive to waterlogging. Prefers slightly acidic soil. Frost susceptible
lentil,Lens culinaris Medik.,18,30,18-30,60-70,6.0-8.0,6.0-7.5,250-400,18-40,40-60,20-30,"Cool-season legume. Drought-tolerant. Requires cold during vegetative growth, warm at maturity. Well-drained soils essential"
mothbeans,Vigna aconitifolia,25,35,25-35,40-60,6.5-7.5,7.0,200-300,21-40,40-60,20-30,"Extremely drought-tolerant. Minimal rainfall required. Hot, dry climate. Sandy loam soils with good drainage"
mungbean,Vigna radiata L.,25,40,28-35,70-90,4.7-7.5,6.0-7.5,600-800,20-40,40-60,20-30,High temperature crop. Less humidity preferred. Sensitive to waterlogging. Wide pH tolerance. Short growing season
blackgram,Vigna mungo L.,25,40,28-35,50-70,4.7-7.5,6.0-7.0,600-750,20-40,40-75,20-30,High temperature crop. Moderate rainfall. Cannot be grown on alkaline/saline soils. Sandy loam to black cotton soils
pigeonpeas,Cajanus cajan L.,25,45,25-35,40-60,5.5-7.5,6.0-7.0,600-1400,20-30,60-75,20-30,Hardy crop. Can survive high temps if soil has moisture. Photoperiod sensitive. Wide soil adaptability. Intolerant to waterlogging
pomegranate,Punica granatum L.,18,30,21-25,80-95,5.5-7.5,6.0-7.0,500-800,90-120,90-120,180-240,Subtropical fruit. Moderate water requirements. Well-drained soils. Tolerates semi-arid conditions
banana,Musa spp.,20,35,27-32,70-90,5.5-7.0,6.0-6.5,1800-2700,200-400,50-100,300-600,"Tropical crop. High water and nutrient demands. Warm temperatures and high humidity preferred. Deep, well-drained soils"
mango,Mangifera indica L.,24,40,27-36,40-60,5.5-7.5,5.5-6.5,750-2500,500-1000,250-500,500-1000,Tropical fruit. Warm to semi-arid environments. Dry climate during flowering adds sweetness. Well-drained soils
grapes,Vitis vinifera L.,15,35,20-30,70-85,5.5-7.0,6.0-6.5,500-900,50-100,50-100,100-200,Temperate to subtropical fruit. Moderate rainfall. Well-drained soils. Sensitive to waterlogging. Low rainfall tolerance
watermelon,Citrullus lanatus,18,35,25-30,80-90,6.0-7.0,6.0-6.5,400-600,100-150,50-75,100-150,Warm season crop. Seed germinates 68-95°F. Well-drained soils. Extensive root system. Sensitive to frost
muskmelon,Cucumis melo,20,32,23-30,60-70,5.0-7.5,6.5-7.5,300-500,100-150,50-75,100-150,"Hot, dry climate preferred. Low humidity at ripening enhances sweetness. Well-drained sandy loam. Frost susceptible"
apple,Malus domestica,10,30,15-25,80-95,5.5-7.0,6.0-7.0,1000-1250,50-120,40-80,80-150,Temperate fruit. Cold requirement for dormancy. Well-drained soils. pH 6-7 optimal. High pH causes micronutrient deficiency
orange,Citrus sinensis,13,35,20-30,85-95,6.0-7.5,6.5-7.0,1000-1500,150-300,40-80,150-300,Subtropical citrus. Moderate temperatures. Well-drained soils. Sensitive to frost. High humidity requirement
papaya,Carica papaya L.,21,32,25-30,90-95,4.5-8.0,6.0-6.5,1500-2500,100-200,50-100,150-300,Tropical fruit. Highly sensitive to frost (<31°F fatal). High humidity. Well-drained soils essential. Sensitive to waterlogging
coconut,Cocos nucifera L.,22,32,25-29,60-80,5.0-8.0,5.0-7.0,1200-2500,80-120,40-60,140-200,"Tropical palm. High rainfall and humidity. Temperatures 20-35°C. Deep, well-drained soils. High potassium requirement"
cotton,Gossypium hirsutum L.,14,40,25-35,40-60,5.5-8.0,7.0-8.0,500-700,100-180,20-60,50-120,Warm season crop. Prefers low to moderate humidity. Well-drained deep soils. Neutral to slightly alkaline. Frost-free period needed
jute,Corchorus capsularis / C. olitorius,24,37,24-37,65-90,4.8-7.5,6.0-7.5,1200-1800,60-80,30-40,40-60,Warm humid climate. High rainfall. Loamy alluvial soils. Long growing season (4-5 months). Sensitive to waterlogging in young stages
coffee,Coffea arabica / C. canephora (Robusta),18,28,18-28,60-80,5.0-6.5,5.5-6.5,1200-1900,120-200,50-90,120-206,"Half-shade plant. Acidic soils preferred. Well-drained volcanic soils ideal. Arabica for higher elevations, Robusta for lower"
